Reference, Quantity, Value, Footprint, Datasheet, LCSC Part #, Mouser Part #
U1 ,1,"74LS07","Package_SO:SOIC-14_3.9x8.7mm_P1.27mm","http://www.ti.com/lit/gpn/sn74LS06","C513513",""
U10 ,1,"TPS61046","Package_TO_SOT_SMD:SOT-23-6_Handsoldering","https://datasheet.lcsc.com/szlcsc/2001152032_Texas-Instruments-TLV61046ADBVR_C464815.pdf","C464815",""
U11 ,1,"BQ21040","Package_TO_SOT_SMD:SOT-23-6","https://datasheet.lcsc.com/szlcsc/1810101925_Texas-Instruments-BQ21040DBVR_C202311.pdf","C202311",""
U12 ,1,"LM324","Package_SO:SOIC-14_3.9x8.7mm_P1.27mm","http://www.ti.com/lit/ds/symlink/lm2902-n.pdf","C71035",""
U13 ,1,"LM317DCYR","Package_TO_SOT_SMD:SOT-223-3_TabPin2","https://datasheet.lcsc.com/szlcsc/1811032110_Texas-Instruments-LM317DCYR_C51466.pdf","C51466",""
U14 ,1,"LM386","Package_SO:SO-8_5.3x6.2mm_P1.27mm","http://www.ti.com/lit/ds/symlink/lm386.pdf"
U4 U5 U7 U8 U2 U3 U9 ,7,"NLB-310-T1","CVCO:Micro-X-4","","","772-NLB-310"
U6 ,1,"PIC12F675-ISN","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","http://ww1.microchip.com/downloads/en/DeviceDoc/41190G.pdf","C96100",""
Y1 ,1,"CVCO55CW-0100-0200","CVCO:CVCO55","https://www.crystek.com/microwave/admin/webapps/welcome/files/vco/CVCO55CW-0100-0200.pdf","","549-CV55CW0100-0200"
Y2 ,1,"CVCO55CW-0200-0500","CVCO:CVCO55","https://www.crystek.com/microwave/admin/webapps/welcome/files/vco/CVCO55CW-0200-0500.pdf","","549-CV55CW0200-0500"
Y3 ,1,"CV55CW500-1000","CVCO:CVCO55","https://www.crystek.com/microwave/admin/webapps/welcome/files/vco/CVCO55CW-0500-1000.pdf","","549-CV55CW500-1000"
Y4 ,1,"CVCO55CW-1000-2000","CVCO:CVCO55","https://www.crystek.com/microwave/admin/webapps/welcome/files/vco/CVCO55CW-1000-2000.pdf","","549-CV55CW1000-2000"
Y5 ,1,"CV55BE1600-3200","CVCO:CVCO55","https://www.crystek.com/microwave/admin/webapps/welcome/files/vco/CVCO55CW-1600-3200.pdf","","549-CV55BE1600-3200"
Y6 ,1,"CVCO55CC-3180-3710","CVCO:CVCO55","https://www.crystek.com/microwave/admin/webapps/welcome/files/vco/CVCO55CC-3180-3710.pdf","","549-CVCO55CC31803710"
Y7 ,1,"CVCO55CW-3500-4500","CVCO:CVCO55","https://www.crystek.com/microwave/admin/webapps/welcome/files/vco/CVCO55CW-3500-4500.pdf","","549-CVC55CW3500-4500"
